title,url
Data Penggunaan Ruangan Balaikota DKI Jakarta,/dataset/data-penggunaan-ruangan-balaikota
Data Rekapitulasi Kejadian Pohon Tumbang di Provinsi DKI Jakarta Tahun 2018,/dataset/data-rekapitulasi-kejadian-pohon-tumbang-di-provinsi-dki-jakarta-tahun-2018
Data Jumlah Polisi Pamong Praja Provinsi DKI Jakarta,/dataset/data-jumlah-polisi-pamong-praja-provinsi-dki-jakarta
Data Kendaraan Dinas Operasional Dinas Sosial,/dataset/data-kendaraan-operasional-dinas-sosial
Data Klinik Konsultasi Pengawasan Tahun 2018,/dataset/klinik-konsultasi-pengawasan-tahun-2018
Data Underpass di DKI Jakarta,/dataset/underpass-di-dki-jakarta
Data Penyebaran Tempat Ibadah Di Kota Administrasi Jakarta Utara,/dataset/data-penyebaran-tempat-ibadah-di-jakarta-utara
Data Laporan Jamaah Haji Rawat Jalan Asal Provinsi DKI Jakarta,/dataset/laporan-jamaah-haji-rawat-jalan-tahun-2016
Data Laporan Jamaah Haji Rawat Inap Asal Provinsi DKI Jakarta,/dataset/laporan-jamaah-haji-rawat-inap-tahun-2016
Data Jamaah Haji Meninggal Dunia Asal Provinsi DKI Jakarta,/dataset/data-jamaah-haji-asal-dki-yang-meninggal-dunia-update-2016-10-10-13-30
Data Kebijakan Bagian Pendidikan Tahun 2014,/dataset/kebijakan-bagian-pendidikan-tahun-2014
Data Penyebaran Tempat Ibadah Di Kota Administrasi Jakarta Timur,/dataset/data-penyebaran-tempat-ibadah-di-jakarta-timur
Data Rencana dan Realisasi Penerimaan Pajak Daerah,/dataset/data-rencana-dan-realisasi-penerimaan-pajak-daerah
Data Tempat Penampungan Sementara (TPS) di Provinsi DKI Jakarta Tahun 2018,/dataset/tempat-penampungan-sementara-tps-di-provinsi-dki-jakarta-tahun-2018
Data Timbangan Sampah di Tempat Pembuangan Sampah Terakhir (TPST) Bantargeban...,/dataset/timbangan-sampah-di-tpst-bantargebang-tahun-2018
Data Rapat Pembahasan Rancangan Peraturan Daerah Provinsi DKI Jakarta,/dataset/rapat-pembahasan-raperda-tahun-2017
Daftar Nama Atlet Pelatda DKI Jakarta Tahun 2017,/dataset/daftar-nama-atlet-pelatda-dki-jakarta-tahun-2017
Data Jumlah Peserta Keluarga Berencana Aktif menurut Kabupaten/Kota di DKI Ja...,/dataset/data-peserta-kb-aktif-menurut-kabupaten-kota-di-dki-jakarta-2018
Data Sekolah Rawan Banjir,/dataset/data-sekolah-rawan-banjir
Data Jumah Rekapitulasi Sambutan Gubernur dan Wakil Gubernur,/dataset/data-jumah-rekapitulasi-sambutan-gubernur-dan-wakil-gubernur
Daftar Nama Atlet dan Pelatih Pelatihan Daerah DKI Jakarta,/dataset/daftar-nama-atlet-dan-pelatih-pelatda-dki-jakarta-tahun-2018
Data Produksi Budidaya Ikan di Kota Administrasi Jakarta Barat Tahun 2016,/dataset/data-produksi-ikan-konsumsi-ikan-hias-dan-benih-ikan
Data Jumlah Kematian Penduduk Berdasarkan Status Hubungan Dalam keluarga,/dataset/dki-kematian-berdasarkan-status-hubungan-dalam-keluarga
Daftar Nama Atlet Penerima Penghargaan,/dataset/daftar-nama-atlet-penerima-penghargaan-tahun-2018
Data Rekapitulasi Jumlah Penduduk Berdasarkan Wajib Kartu Tanda Penduduk dan ...,/dataset/data-rekapitulasi-jumlah-data-penduduk-wilayah-kota-administrasi-jakarta-barat
Data Persentase Cagar Budaya Yang Berhasil di Revitalisasi,/dataset/data-persentase-cagar-budaya-yang-berhasil-di-revitalisasi-tahun-2018-disparbud
Data Daftar Permohonan Pemfasilitasian Permasalahan Perwakilan Negara Asing  ...,/dataset/data-daftar-permohonan-pemfasilitasian-permasalahan-pna-di-dki-jakarta
Data Kedalaman Muka Air Tanah Pada Sumur Pantau di 5 Wilayah,/dataset/data-kedalaman-muka-air-tanah-pada-sumur-pantau-di-5-wilayah-tahun-2018
Data Jadwal Pengawasan Lainnya,/dataset/data-jadwal-pengawasan-lainnya
Data Sentra Industri Kecil Menengah di Provinsi DKI Jakarta,/dataset/data-sentra-ikm-di-provinsi-dki-jakarta
Data Penggunaan Air Tanah pada Pelanggan Air Tanah di DKI Jakarta,/dataset/data-penggunaan-air-tanah-pada-pelanggan-air-tanah-di-dki-jakarta
Data Sertifikat Laik Operasi (SLO) Genset di Provinsi DKI Jakarta Tahun 2018,/dataset/data-slo-genset-di-provinsi-dki-jakarta
Data Penyandang Masalah Kesejahteraan Sosial (PMKS) Kota Administrasi Jakarta...,/dataset/rekapitulasi-pmks-jalanan-kota-adm-jakarta-barat-tahun-2018
Data Atlet Latihan Mahasiswa DKI Jakarta,/dataset/data-atlet-latihan-mahasiswa-dki-jakarta-tahun-2018
Data Paskibraka DKI Jakarta,/dataset/data-paskibraka-dki-jakarta-2018
Data Rekapitulasi Lokasi Pengungsi Banjir di Provinsi DKI Jakarta,/dataset/data-rekapitulasi-lokasi-pengungsi-tahun-2015
Data Rekapitulasi Kejadian Kebakaran Di DKI Jakarta,/dataset/data-rekapitulasi-kejadian-kebakaran-di-dki-jakarta
Data Kunjungan Kerja Tahun 2018,/dataset/data-kunjungan-kerja-tahun-2018
Data Jumlah Pasangan Usia Subur di DKI Jakarta Menurut Kabupaten/Kota di DKI ...,/dataset/data-jumlah-pus-di-dki-jakarta-menurut-kabupaten-kota-di-dki-jakarta-2018
Data Penerimaan Retribusi Dinas Lingkungan Hidup Tahun 2018,/dataset/penerimaan-retribusi-dinas-lingkungan-hidup-tahun-2018
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh ...,/dataset/data-korban-kekerasan-terhadap-perempuan-dan-anak-yang-ditangani-oleh-p2tp2a-berdasarkan-klien-2018
Data Lokasi Pintu Air DKI Jakarta,/dataset/data-lokasi-pintu-air-dki-jakarta
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh ...,/dataset/jumlah-korban-kekerasan-terhadap-perempuan-dan-anak-berdasarkan-usia-pelaku-2018
Data Harga Bahan Pokok di Provinsi DKI Jakarta Tahun 2018,/dataset/data-harga-bahan-pokok-di-provinsi-dki-jakarta-tahun-2018
Data Orang Terlantar (OT) Dinas Sosial Provinsi DKI Jakarta Tahun 2018,/dataset/data-orang-terlantar-ot-dinas-sosial-provinsi-dki-jakarta
Data Kategori Event Jakarta Perbulan,/dataset/data-kategori-event-jakarta
Data Penerbitan Surat Izin Usaha Perdagangan (SIUP) Dinas Penanaman Modal dan...,/dataset/data-penerbitan-siup-dpmptsp-oktober-desember-2018
Data Pedagang di Lokasi Sementara Provinsi DKI Jakarta,/dataset/data-pedagang-di-lokasi-sementara-provinsi-dki-jakarta
Data Rute Angkutan Sekolah,/dataset/data-perkembangan-rute-bus-sekolah-2013-2017
Data Armada Angkutan Umum,/dataset/data-armada-angkutan-umum-kpi
Data Sekolah Penerima Biaya Operasional Sekolah - BOS,/dataset/data-sekolah-penerima-biaya-operasional-sekolah-bos
Data Aset Dinas Pendidikan,/dataset/data-aset-dinas-pendidikan
Data Penerbitan Tanda Daftar Perusahaan (TDP) Dinas Penanaman Modal dan Pelay...,/dataset/data-penerbitan-tdp-dpmptsp-oktober-desember-2018
"Data Penerimaan Retribusi Daerah Dinas Koperasi, UKM serta Perdagangan Provin...",/dataset/data-penerimaan-retribusi-daerah-dinas-koperasi-ukm-serta-perdagangan-provinsi-dki-jakarta
Data Status Akreditasi Satuan Pendidikan,/dataset/data-status-akreditasi-satuan-pendidikan-2019
Data Hubungan Industrial DKI Jakarta Tahun 2018,/dataset/data-hubungan-industrial-dki-jakarta-per-2018
Data Pengunjung Wisata Balaikota DKI Jakarta Tahun 2017,/dataset/data-pengunjung-wisata-balaikota-dki-jakarta-tahun-2017
Data Pengunjung Wisata Balaikota DKI Jakarta Tahun 2018,/dataset/data-pengunjung-wisata-balaikota-dki-jakarta-tahun-2018
Data Kejadian Bencana Kebakaran di DKI Jakarta Tahun 2018,/dataset/data-kejadian-kebakaran-di-provinsi-dki-jakarta-tahun-2018
Data Jumlah Warga Binaan Panti Sosial,/dataset/data-jumlah-wbs-panti-sosial
Data Kunjungan Wisatawan Nusantara dan Wisatawan Mancanegara ke TIC DKI Jakar...,/dataset/data-kunjungan-wisatawan-nusantara-dan-wisatawan-mancanegara-ke-tic-dki-jakarta-tahun-2018
Data Target Kunjungan Wisata Mancanegara ke Jakarta,/dataset/data-target-kunjungan-wisman-ke-dki-jakarta
Data Jumlah Pelaku Seni Yang Dilatih Perbulan Tahun 2018,/dataset/jumlah-pelaku-seni-yang-dilatih-perbulan-2018
"Data Jumlah Kelahiran, Umur Pertengahan dan Kelahiran Kasar",/dataset/data-jumlah-kelahiran-umur-pertengahan-dan-kelahiran-kasar
Data Jumlah Kematian Penduduk Berdasarkan Jenis Kelamin per Kelurahan,/dataset/data-jumlah-kematian-penduduk-berdasarkan-jenis-kelamin-per-kelurahan
Data Acara Wisata Balaikota DKI Jakarta,/dataset/acara-wisata-balai-kota
Data Pelaksanaan Acara Seremonial Pimpinan,/dataset/data-pelaksanaan-acara-seremonial-pimpinan-tahun-2018
Data Kelurahan yang telah Mempunyai Standar Pelayanan di Pemerintah Provinsi ...,/dataset/data-semester-i-kelurahan-yang-telah-mempunyai-standar-pelayanan-di-pemerintah-provinsi-dki-jakarta
Data Jumlah Bus Operator PT Transportasi Jakarta,/dataset/data-jumlah-bus-operator-pt-transportasi-jakarta
Data Perkembangan Dan Pembangunan Rumah Susun,/dataset/data-perkembangan-dan-pembangunan-rumah-susun
Data Produk Domestik Regional Bruto (PDRB) di DKI Jakarta,/dataset/pdrb-dki-jakarta
Data Penerima Bantuan Sosial dan Hibah Rekomendasi Biro Pendidikan Mental Spi...,/dataset/data-penerima-bantuan-sosial-dan-hibah-tahun-2015-20160525
Data Kelahiran bayi Berdasarkan Kategori Urutan Anak Dilahirkan Per Kelurahan,/dataset/data-kelahiran-bayi-berdasarkan-kategori-urutan-anak-dilahirkan-per-kelurahan
Data Kelahiran Bayi Berdasarkan Pekerjaan Ibu per Kelurahan,/dataset/data-jumlah-kelahiran-bayi-berdasarkan-jenis-pekerjaan-ibu-per-kelurahan
Data Penduduk Menurut Jenis Kelamin dan Rasio Jenis Kelamin Provinsi DKI Jakarta,/dataset/data-penduduk-menurut-jenis-kelamin-dan-rasio-jenis-kelamin-kota-administrasi-dki-jakarta
Data Jumlah Penduduk Usia Anak Yang Bekerja per Kelurahan di Provinsi DKI Jak...,/dataset/data-jumlah-penduduk-usia-anak-berdasar-pekerjaan-di-provinsi-dki-jakarta
Data Kelahiran Bayi Berdasarkan Pekerjaan Ayah dan Jenis Kelamin Per Kelurahan,/dataset/data-kelahiran-bayi-berdasarkan-pekerjaan-ayah-per-kelurahan
Data Penetapan Kebijakan Umum APBD Plafon Prioritas Anggaran Sementara (KUA-P...,/dataset/penetapan-kua-ppas
